0,wrd_length,total_char,syl_count,syl_sum,sentiment
"Bistritz._--Left Munich at 8:35 P. M., on 1st May, arriving at Vienna early next morning; should have arrived at 6:46, but train was an hour late.","[8, 4, 6, 2, 4, 1, 1, 2, 3, 3, 8, 2, 6, 5, 4, 7, 6, 4, 7, 2, 4, 3, 5, 3, 2, 4, 4]",110,[2 1 2 1 0 0 0 1 0 1 3 1 3 3 1 2 1 1 2 1 0 1 1 1 1 1 1],32,-0.0666666666667
"Buda-Pesth seems a wonderful place, from the glimpse which I got of it from the train and the little I could walk through the streets.","[10, 5, 1, 9, 5, 4, 3, 7, 5, 1, 3, 2, 2, 4, 3, 5, 3, 3, 6, 1, 5, 4, 7, 3, 7]",108,[3 1 1 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],29,0.40625
"I feared to go very far from the station, as we had arrived late and would start as near the correct time as possible.","[1, 6, 2, 2, 4, 3, 4, 3, 7, 2, 2, 3, 7, 4, 3, 5, 5, 2, 4, 3, 7, 4, 2, 8]",93,[1 2 1 1 2 1 1 1 2 1 1 1 2 1 1 1 1 1 2 1 2 1 1 2],31,-0.0175
"The impression I had was that we were leaving the West and entering the East; the most western of splendid bridges over the Danube, which is here of noble width and depth, took us among the traditions of Turkish rule.","[3, 10, 1, 3, 3, 4, 2, 4, 7, 3, 4, 3, 8, 3, 4, 3, 4, 7, 2, 8, 7, 4, 3, 6, 5, 2, 4, 2, 5, 5, 3, 5, 4, 2, 5, 3, 10, 2, 7, 4]",174,"[1 3 1 1 1 1 1 1 3 1 1 1 3 1 2 1 1 2 1 2 1 2 1 2 1 1 1 1 1 1 1 1 1 1 2 1 3
 1 2 1]",55,0.483333333333
"We left in pretty good time, and came after nightfall to Klausenburgh.","[2, 4, 2, 6, 4, 4, 3, 4, 5, 9, 2, 12]",57,[1 1 1 2 1 1 1 1 2 2 1 3],17,0.316666666667
Here I stopped for the night at the Hotel Royale.,"[4, 1, 7, 3, 3, 5, 2, 3, 5, 6]",39,[1 1 1 1 1 1 1 1 2 2],12,0.0
"I had for dinner, or rather supper, a chicken done up some way with red pepper, which was very good but thirsty.","[1, 3, 3, 6, 2, 6, 6, 1, 7, 4, 2, 4, 3, 4, 3, 6, 5, 3, 4, 4, 3, 7]",87,[1 1 1 2 1 2 2 1 2 1 1 1 1 1 0 2 1 1 2 1 1 2],28,0.103333333333
"(_Mem._, get recipe for Mina.)","[3, 3, 6, 3, 4]",19,[1 1 2 1 2],7,0.0
"I asked the waiter, and he said it was called ""paprika hendl,"" and that, as it was a national dish, I should be able to get it anywhere along the Carpathians.","[1, 5, 3, 6, 3, 2, 4, 2, 3, 6, 7, 5, 3, 4, 2, 2, 3, 1, 8, 4, 1, 6, 2, 4, 2, 3, 2, 8, 5, 3, 11]",121,[1 1 1 2 1 1 1 1 1 1 3 1 1 1 1 1 1 1 3 1 1 1 1 1 1 1 1 3 2 1 4],42,0.5
"I found my smattering of German very useful here; indeed, I don't know how I should be able to get on without it.","[1, 5, 2, 10, 2, 6, 4, 6, 4, 6, 1, 2, 3, 4, 3, 1, 6, 2, 4, 2, 3, 2, 7, 2]",88,[1 1 1 3 1 2 2 3 1 1 1 1 0 1 1 1 1 1 1 1 1 1 2 1],30,0.296666666667
"Having had some time at my disposal when in London, I had visited the British Museum, and made search among the books and maps in the library regarding Transylvania; it had struck me that some foreknowledge of the country could hardly fail to have some importance in dealing with a nobleman of that country.","[6, 3, 4, 4, 2, 2, 8, 4, 2, 6, 1, 3, 7, 3, 7, 6, 3, 4, 6, 5, 3, 5, 3, 4, 2, 3, 7, 9, 12, 2, 3, 6, 2, 4, 4, 13, 2, 3, 7, 5, 6, 4, 2, 4, 4, 10, 2, 7, 4, 1, 8, 2, 4, 7]",250,"[2 1 1 1 1 1 3 1 1 2 1 1 2 1 2 2 1 1 2 2 1 1 1 1 1 1 3 3 5 1 1 1 1 1 1 4 1
 1 2 1 2 1 1 1 1 3 1 3 1 1 3 1 1 2]",83,-0.25
"I find that the district he named is in the extreme east of the country, just on the borders of three states, Transylvania, Moldavia and Bukovina, in the midst of the Carpathian mountains; one of the wildest and least known portions of Europe.","[1, 4, 4, 3, 8, 2, 5, 2, 2, 3, 7, 4, 2, 3, 7, 4, 2, 3, 7, 2, 5, 6, 12, 8, 3, 8, 2, 3, 5, 2, 3, 10, 9, 3, 2, 3, 7, 3, 5, 5, 8, 2, 6]",195,"[1 1 1 1 2 1 1 1 1 1 2 2 1 1 2 1 1 1 2 1 1 1 5 4 1 4 1 1 1 1 1 4 2 1 1 1 2
 1 2 1 2 1 2]",66,-0.2125
"I was not able to light on any map or work giving the exact locality of the Castle Dracula, as there are no maps of this country as yet to compare with our own Ordnance Survey maps; but I found that Bistritz, the post town named by Count Dracula, is a fairly well-known place.","[1, 3, 3, 4, 2, 5, 2, 3, 3, 2, 4, 6, 3, 5, 8, 2, 3, 6, 7, 2, 5, 3, 2, 4, 2, 4, 7, 2, 3, 2, 7, 4, 3, 3, 8, 6, 4, 3, 1, 5, 4, 8, 3, 4, 4, 5, 2, 5, 7, 2, 1, 6, 10, 5]",218,"[1 1 1 1 1 1 1 2 1 1 1 2 1 2 4 1 1 1 3 1 1 1 1 1 1 1 2 1 1 1 2 1 1 1 2 2 1
 1 1 1 1 2 1 1 1 1 1 1 3 1 1 2 2 1]",71,0.34
"I shall enter here some of my notes, as they may refresh my memory when I talk over my travels with Mina.","[1, 5, 5, 4, 4, 2, 2, 5, 2, 4, 3, 7, 2, 6, 4, 1, 4, 4, 2, 7, 4, 4]",82,[1 1 2 1 1 1 1 1 1 1 1 2 1 3 1 1 1 2 1 2 1 2],29,0.0
"In the population of Transylvania there are four distinct nationalities: Saxons in the South, and mixed with them the Wallachs, who are the descendants of the Dacians; Magyars in the West, and Szekelys in the East and North.","[2, 3, 10, 2, 12, 5, 3, 4, 8, 13, 6, 2, 3, 5, 3, 5, 4, 4, 3, 8, 3, 3, 3, 11, 2, 3, 7, 7, 2, 3, 4, 3, 8, 2, 3, 4, 3, 5]",181,"[1 1 4 1 5 1 1 1 2 5 2 1 1 1 1 1 1 1 1 2 1 1 1 3 1 1 3 3 1 1 1 1 3 1 1 2 1
 1]",61,0.15
"I am going among the latter, who claim to be descended from Attila and the Huns.","[1, 2, 5, 5, 3, 6, 3, 5, 2, 2, 9, 4, 6, 3, 3, 4]",63,[1 1 1 2 1 2 1 1 1 1 2 1 3 1 1 1],21,0.0
"This may be so, for when the Magyars conquered the country in the eleventh century they found the Huns settled in it.","[4, 3, 2, 2, 3, 4, 3, 7, 9, 3, 7, 2, 3, 8, 7, 4, 5, 3, 4, 7, 2, 2]",94,[1 1 1 1 1 1 1 3 2 1 2 1 1 3 3 1 1 1 1 1 1 1],30,0.0
"I read that every known superstition in the world is gathered into the horseshoe of the Carpathians, as if it were the centre of some sort of imaginative whirlpool; if so my stay may be very interesting.","[1, 4, 4, 5, 5, 12, 2, 3, 5, 2, 8, 4, 3, 9, 2, 3, 11, 2, 2, 2, 4, 3, 6, 2, 4, 4, 2, 11, 9, 2, 2, 2, 4, 3, 2, 4, 11]",164,[1 2 1 3 1 4 1 1 1 1 2 2 1 2 1 1 4 1 1 1 1 1 1 1 1 1 1 5 2 1 1 1 1 1 1 2 4],58,0.625
"(_Mem._, I must ask the Count all about them.)","[3, 1, 4, 3, 3, 5, 3, 5, 4]",31,[1 1 1 1 1 1 1 2 1],10,0.0
"I did not sleep well, though my bed was comfortable enough, for I had all sorts of queer dreams.","[1, 3, 3, 5, 4, 6, 2, 3, 3, 11, 6, 3, 1, 3, 3, 5, 2, 5, 6]",75,[1 1 1 1 1 1 1 0 1 3 2 1 1 1 1 1 1 1 2],22,0.2
"There was a dog howling all night under my window, which may have had something to do with it; or it may have been the paprika, for I had to drink up all the water in my carafe, and was still thirsty.","[5, 3, 1, 3, 7, 3, 5, 5, 2, 6, 5, 3, 4, 3, 9, 2, 2, 4, 2, 2, 2, 3, 4, 4, 3, 7, 3, 1, 3, 2, 5, 2, 3, 3, 5, 2, 2, 6, 3, 3, 5, 7]",154,"[1 1 1 1 2 1 1 2 1 2 1 1 1 1 3 1 1 1 1 1 1 1 1 1 1 3 1 1 1 1 1 1 1 1 2 1 1
 2 1 1 1 2]",52,0.0
"Towards morning I slept and was wakened by the continuous knocking at my door, so I guess I must have been sleeping soundly then.","[7, 7, 1, 5, 3, 3, 7, 2, 3, 10, 8, 2, 2, 4, 2, 1, 5, 1, 4, 4, 4, 8, 7, 4]",104,[2 2 1 1 1 1 2 1 1 3 2 1 1 1 1 1 1 1 1 1 1 2 2 1],32,0.4
"I had for breakfast more paprika, and a sort of porridge of maize flour which they said was ""mamaliga,"" and egg-plant stuffed with forcemeat, a very excellent dish, which they call ""impletata.""","[1, 3, 3, 9, 4, 7, 3, 1, 4, 2, 8, 2, 5, 5, 5, 4, 4, 3, 8, 3, 9, 7, 4, 9, 1, 4, 9, 4, 5, 4, 4, 9]",153,[1 1 1 3 1 3 1 1 1 1 2 1 1 1 1 1 1 1 4 1 2 1 1 4 1 2 3 1 1 1 1 4],50,0.75
"(_Mem._, get recipe for this also.)","[3, 3, 6, 3, 4, 4]",23,[1 1 2 1 1 2],8,0.0
"I had to hurry breakfast, for the train started a little before eight, or rather it ought to have done so, for after rushing to the station at 7:30 I had to sit in the carriage for more than an hour before we began to move.","[1, 3, 2, 5, 9, 3, 3, 5, 7, 1, 6, 6, 5, 2, 6, 2, 5, 2, 4, 4, 2, 3, 5, 7, 2, 3, 7, 2, 4, 1, 3, 2, 3, 2, 3, 8, 3, 4, 4, 2, 4, 6, 2, 5, 2, 4]",174,"[1 1 1 2 3 1 1 1 1 1 1 2 1 1 2 1 1 1 1 1 1 1 2 2 1 1 2 1 0 1 1 1 1 1 1 3 1
 1 1 1 1 2 1 2 1 1]",57,0.15625
It seems to me that the further east you go the more unpunctual are the trains.,"[2, 5, 2, 2, 4, 3, 7, 4, 3, 2, 3, 4, 10, 3, 3, 6]",63,[1 1 1 1 1 1 2 2 1 1 1 1 3 1 1 1],20,0.25
What ought they to be in China?,"[4, 5, 4, 2, 2, 2, 5]",24,[1 1 1 1 1 1 2],8,0.0
All day long we seemed to dawdle through a country which was full of beauty of every kind.,"[3, 3, 4, 2, 6, 2, 6, 7, 1, 7, 5, 3, 4, 2, 6, 2, 5, 4]",72,[1 1 1 1 1 1 1 1 1 2 1 1 1 1 3 1 3 1],23,0.3
Sometimes we saw little towns or castles on the top of steep hills such as we see in old missals; sometimes we ran by rivers and streams which seemed from the wide stony margin on each side of them to be subject to great floods.,"[9, 2, 3, 6, 5, 2, 7, 2, 3, 3, 2, 5, 5, 4, 2, 2, 3, 2, 3, 7, 9, 2, 3, 2, 6, 3, 7, 5, 6, 4, 3, 4, 5, 6, 2, 4, 4, 2, 4, 2, 2, 7, 2, 5, 6]",182,"[3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 3 1 1 1 2 1 2 1 1 1 1 1 2 2 1 2 1
 1 1 1 1 2 1 2 1]",57,0.135119047619
"It takes a lot of water, and running strong, to sweep the outside edge of a river clear.","[2, 5, 1, 3, 2, 5, 3, 7, 6, 2, 5, 3, 7, 4, 2, 1, 5, 5]",68,[1 1 1 1 1 2 1 2 1 1 1 1 2 1 1 1 2 2],23,0.177777777778
"At every station there were groups of people, sometimes crowds, and in all sorts of attire.","[2, 5, 7, 5, 4, 6, 2, 6, 9, 6, 3, 2, 3, 5, 2, 6]",73,[1 3 2 1 1 1 1 1 3 1 1 1 1 1 1 2],22,0.0
"Some of them were just like the peasants at home or those I saw coming through France and Germany, with short jackets and round hats and home-made trousers; but others were very picturesque.","[4, 2, 4, 4, 4, 4, 3, 8, 2, 4, 2, 5, 1, 3, 6, 7, 6, 3, 7, 4, 5, 7, 3, 5, 4, 3, 9, 8, 3, 6, 4, 4, 11]",155,[1 1 1 1 1 1 1 3 1 1 1 1 1 1 2 1 1 1 3 1 1 2 1 1 1 1 3 2 1 2 1 2 3],46,0.0
"The women looked pretty, except when you got near them, but they were very clumsy about the waist.","[3, 5, 6, 6, 6, 4, 3, 3, 4, 4, 3, 4, 4, 4, 6, 5, 3, 5]",78,[1 2 1 2 2 1 1 1 2 1 1 1 1 2 2 2 1 1],25,-0.0133333333333
"They had all full white sleeves of some kind or other, and most of them had big belts with a lot of strips of something fluttering from them like the dresses in a ballet, but of course there were petticoats under them.","[4, 3, 3, 4, 5, 7, 2, 4, 4, 2, 5, 3, 4, 2, 4, 3, 3, 5, 4, 1, 3, 2, 6, 2, 9, 10, 4, 4, 4, 3, 7, 2, 1, 6, 3, 2, 6, 5, 4, 10, 5, 4]",174,"[1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 1 1 1 1 1 1 1 2 1 1 1
 1 1 3 2 1]",51,0.220833333333
