0,wrd_length,total_char,syl_count,syl_sum,sentiment
"The Cyclone   Dorothy lived in the midst of the great Kansas prairies, with Uncle Henry, who was a farmer, and Aunt Em, who was the farmer's wife.","[3, 7, 7, 5, 2, 3, 5, 2, 3, 5, 6, 8, 4, 5, 5, 3, 3, 1, 6, 3, 4, 2, 3, 3, 3, 6, 2, 4]",113,[1 2 3 1 1 1 1 1 1 2 2 2 1 1 2 1 1 1 2 1 1 1 1 1 1 2 0 1],36,0.8
"Their house was small, for the lumber to build it had to be carried by wagon many miles.","[5, 5, 3, 5, 3, 3, 6, 2, 5, 2, 3, 2, 2, 7, 2, 5, 4, 5]",69,[1 1 1 1 1 1 2 1 1 1 1 1 1 2 1 2 2 1],22,0.125
"There were four walls, a floor and a roof, which made one room; and this room contained a rusty looking cookstove, a cupboard for the dishes, a table, three or four chairs, and the beds.","[5, 4, 4, 5, 1, 5, 3, 1, 4, 5, 4, 3, 4, 3, 4, 4, 9, 1, 5, 7, 9, 1, 8, 3, 3, 6, 1, 5, 5, 2, 4, 6, 3, 3, 4]",144,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 2 2 2 1 2 1 1 1 1 1 1 1 1 1 1 1 1],40,0.0
"Uncle Henry and Aunt Em had a big bed in one corner, and Dorothy a little bed in another corner.","[5, 5, 3, 4, 2, 3, 1, 3, 3, 2, 3, 6, 3, 7, 1, 6, 3, 2, 7, 6]",75,[1 2 1 1 1 1 1 1 0 1 1 2 1 3 1 1 0 1 3 2],25,-0.09375
"There was no garret at all, and no cellar--except a small hole dug in the ground, called a cyclone cellar, where the family could go in case one of those great whirlwinds arose, mighty enough to crush any building in its path.","[5, 3, 2, 6, 2, 3, 3, 2, 6, 6, 1, 5, 4, 3, 2, 3, 6, 6, 1, 7, 6, 5, 3, 6, 5, 2, 2, 4, 3, 2, 5, 5, 10, 5, 6, 6, 2, 5, 3, 8, 2, 3, 4]",178,"[1 1 1 2 1 1 1 1 2 2 1 1 1 1 1 1 1 1 1 2 2 1 1 3 1 1 1 1 1 1 1 2 2 2 2 2 1
 1 2 2 1 1 1]",57,0.2375
"It was reached by a trap door in the middle of the floor, from which a ladder led down into the small, dark hole.","[2, 3, 7, 2, 1, 4, 4, 2, 3, 6, 2, 3, 5, 4, 5, 1, 6, 3, 4, 4, 3, 5, 4, 4]",87,[1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 2 0 1 2 1 1 1 1],26,-0.138888888889
"When Dorothy stood in the doorway and looked around, she could see nothing but the great gray prairie on every side.","[4, 7, 5, 2, 3, 7, 3, 6, 6, 3, 5, 3, 7, 3, 3, 5, 4, 7, 2, 5, 4]",94,[1 3 1 1 1 2 1 1 2 0 1 1 2 1 1 2 1 2 1 3 1],29,0.8
Not a tree nor a house broke the broad sweep of flat country that reached to the edge of the sky in all directions.,"[3, 1, 4, 3, 1, 5, 5, 3, 5, 5, 2, 4, 7, 4, 7, 2, 3, 4, 2, 3, 3, 2, 3, 10]",91,[1 1 1 1 1 1 1 1 1 1 1 1 2 1 2 1 1 1 1 1 1 1 1 3],28,0.01875
"The sun had baked the plowed land into a gray mass, with little cracks running through it.","[3, 3, 3, 5, 3, 6, 4, 4, 1, 4, 4, 4, 6, 6, 7, 7, 2]",72,[1 1 1 1 1 1 1 2 1 1 1 1 1 1 2 1 1],19,-0.1875
"Even the grass was not green, for the sun had burned the tops of the long blades until they were the same gray color to be seen everywhere.","[4, 3, 5, 3, 3, 5, 3, 3, 3, 3, 6, 3, 4, 2, 3, 4, 6, 5, 4, 4, 3, 4, 4, 5, 2, 2, 4, 10]",110,[2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 2 1 1 1 4],34,0.0166666666667
"Once the house had been painted, but the sun blistered the paint and the rains washed it away, and now the house was as dull and gray as everything else.","[4, 3, 5, 3, 4, 7, 3, 3, 3, 9, 3, 5, 3, 3, 5, 6, 2, 4, 3, 3, 3, 5, 3, 2, 4, 3, 4, 2, 10, 4]",121,[1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 4 1],35,-0.291666666667
"When Aunt Em came there to live she was a young, pretty wife.","[4, 4, 2, 4, 5, 2, 4, 3, 3, 1, 5, 6, 4]",47,[1 1 1 1 1 1 1 0 1 1 1 2 1],13,0.162121212121
"The sun and wind had changed her, too.","[3, 3, 3, 4, 3, 7, 3, 3]",29,[1 1 1 1 1 1 1 1],8,0.0
"They had taken the sparkle from her eyes and left them a sober gray; they had taken the red from her cheeks and lips, and they were gray also.","[4, 3, 5, 3, 7, 4, 3, 4, 3, 4, 4, 1, 5, 4, 4, 3, 5, 3, 3, 4, 3, 6, 3, 4, 3, 4, 4, 4, 4]",111,[1 1 2 1 1 1 1 0 1 1 1 1 2 1 1 1 2 1 0 1 1 1 1 1 1 1 1 1 2],31,0.0333333333333
"She was thin and gaunt, and never smiled now.","[3, 3, 4, 3, 5, 3, 5, 6, 3]",35,[0 1 1 1 1 1 2 1 1],9,-0.35
"When Dorothy, who was an orphan, first came to her, Aunt Em had been so startled by the child's laughter that she would scream and press her hand upon her heart whenever Dorothy's merry voice reached her ears; and she still looked at the little girl with wonder that she could find anything to laugh at.","[4, 7, 3, 3, 2, 6, 5, 4, 2, 3, 4, 2, 3, 4, 2, 8, 2, 3, 5, 2, 8, 4, 3, 5, 6, 3, 5, 3, 4, 4, 3, 5, 8, 7, 2, 5, 5, 7, 3, 4, 3, 3, 5, 6, 2, 3, 6, 4, 4, 6, 4, 3, 5, 4, 8, 2, 5, 2]",243,"[1 3 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 0 2 1 0 1 2 1 1 1 1 2 1 2 3 3 0 2 1
 2 1 2 1 0 1 1 1 1 1 1 1 2 1 0 1 1 3 1 1 1]",70,0.120833333333
Uncle Henry never laughed.,"[5, 5, 5, 7]",22,[1 2 2 1],6,-0.35
He worked hard from morning till night and did not know what joy was.,"[2, 6, 4, 4, 7, 4, 5, 3, 3, 3, 4, 4, 3, 3]",55,[1 1 1 1 2 1 1 1 1 1 1 1 1 1],15,0.254166666667
"He was gray also, from his long beard to his rough boots, and he looked stern and solemn, and rarely spoke.","[2, 3, 4, 4, 4, 3, 4, 5, 2, 3, 5, 5, 3, 2, 6, 5, 3, 6, 3, 6, 5]",83,[1 1 1 2 1 1 1 2 1 1 1 1 1 1 1 1 1 2 1 3 1],26,0.05
"It was Toto that made Dorothy laugh, and saved her from growing as gray as her other surroundings.","[2, 3, 4, 4, 4, 7, 5, 3, 5, 3, 4, 7, 2, 4, 2, 3, 5, 12]",79,[1 1 2 1 1 3 1 1 1 1 1 2 1 1 1 1 2 3],25,0.0875
"Toto was not gray; he was a little black dog, with long silky hair and small black eyes that twinkled merrily on either side of his funny, wee nose.","[4, 3, 3, 4, 2, 3, 1, 6, 5, 3, 4, 4, 5, 4, 3, 5, 5, 4, 4, 8, 7, 2, 6, 4, 2, 3, 5, 3, 4]",116,[2 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 0 1 1 3 1 2 1 1 1 2 1 1],34,-0.0951388888889
"Toto played all day long, and Dorothy played with him, and loved him dearly.","[4, 6, 3, 3, 4, 3, 7, 6, 4, 3, 3, 5, 3, 6]",60,[2 0 1 1 1 1 3 0 1 1 1 1 1 3],17,0.325
"Today, however, they were not playing.","[5, 7, 4, 4, 3, 7]",30,[2 3 1 1 1 1],9,0.0
"Uncle Henry sat upon the doorstep and looked anxiously at the sky, which was even grayer than usual.","[5, 5, 3, 4, 3, 8, 3, 6, 9, 2, 3, 3, 5, 3, 4, 6, 4, 5]",81,[1 2 1 2 1 2 1 1 3 1 1 1 1 1 2 1 1 2],25,-0.25
"Dorothy stood in the door with Toto in her arms, and looked at the sky too.","[7, 5, 2, 3, 4, 4, 4, 2, 3, 4, 3, 6, 2, 3, 3, 3]",58,[3 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1],19,0.0
Aunt Em was washing the dishes.,"[4, 2, 3, 7, 3, 6]",25,[1 1 1 2 1 1],7,0.0
"From the far north they heard a low wail of the wind, and Uncle Henry and Dorothy could see where the long grass bowed in waves before the coming storm.","[4, 3, 3, 5, 4, 5, 1, 3, 4, 2, 3, 4, 3, 5, 5, 3, 7, 5, 3, 5, 3, 4, 5, 5, 2, 5, 6, 3, 6, 5]",121,[1 1 1 1 1 2 1 1 1 1 1 1 1 1 2 1 3 1 1 1 1 1 1 1 1 1 2 1 2 1],36,0.0166666666667
