0,wrd_length,total_char,syl_count,syl_sum,sentiment,cluster_20,cluster_3_syl,cluster_3no_syl,cluster_5
                              The Secret of the Ninth Planet                         _A Science Fiction Novel_                           By Donald A. Wollheim                       Jacket design by James Heugh  [Transcriber note: Extensive research did not uncover any evidence that the U.S. copyright on this publication was renewed.],"[3, 6, 2, 3, 5, 6, 1, 7, 7, 5, 2, 6, 1, 8, 6, 6, 2, 5, 5, 11, 4, 9, 8, 3, 3, 7, 3, 8, 4, 3, 3, 9, 2, 4, 11, 3, 7]",188,"[1, 2, 1, 1, 1, 2, 1, 2, 2, 2, 1, 2, 1, 2, 2, 2, 1, 1, 1, 3, 1, 3, 3, 1, 1, 3, 2, 3, 1, 1, 1, 3, 1, 1, 4, 1, 2]",63,-0.2,12,0,0,3
"_Cecile Matschat, Editor_ _Carl Carmer, Consulting Editor_  THE JOHN C. WINSTON COMPANY Philadelphia Toronto  Copyright, 1959 By Donald A. Wollheim  FIRST EDITION  Library of Congress Catalog Card Number 59-5328  _Manufactured in the United States of America_       For--     Three denizens of this minor planet:     Eleanor, Bill, and of course Janet.","[6, 8, 6, 4, 6, 10, 6, 3, 4, 1, 7, 7, 12, 7, 9, 4, 2, 6, 1, 8, 5, 7, 7, 2, 8, 7, 4, 6, 7, 12, 2, 3, 6, 6, 2, 7, 3, 5, 8, 2, 4, 5, 6, 7, 4, 3, 2, 6, 5]",268,"[2, 2, 3, 1, 2, 3, 3, 1, 1, 0, 2, 3, 5, 3, 3, 0, 1, 2, 1, 2, 1, 3, 3, 1, 2, 3, 1, 2, 0, 4, 1, 1, 2, 1, 1, 4, 1, 1, 3, 1, 1, 2, 2, 4, 1, 1, 1, 1, 2]",91,0.1,12,0,0,3
Contents   _The Mysterious Ninth World_  1.,"[8, 3, 10, 5, 5, 1]",32,"[2, 1, 3, 1, 1, 0]",8,0.0,6,1,1,1
_Special Delivery--by Guided Missile_  2.,"[7, 8, 2, 6, 7, 1]",31,"[3, 4, 1, 1, 2, 0]",11,0.357142857143,9,1,1,2
_The Valley of Stolen Sunlight_  3.,"[3, 6, 2, 6, 8, 1]",26,"[1, 2, 1, 2, 2, 0]",8,0.0,10,1,1,1
_The Secret of A-G 17_  4.,"[3, 6, 2, 3, 2, 1]",17,"[1, 2, 1, 1, 0, 0]",5,-0.4,8,1,1,1
_The Hidden Skyport_  5.,"[3, 6, 7, 1]",17,"[1, 2, 2, 0]",5,-0.166666666667,0,1,1,1
_Up the Rope of Space_  6.,"[2, 3, 4, 2, 5, 1]",17,"[1, 1, 1, 1, 1, 0]",5,0.0,10,1,1,1
_Sunward Ho!_  7.,"[7, 2, 1]",10,"[2, 1, 0]",3,0.0,10,1,1,1
_Hot Spot on Mercury_  8.,"[3, 4, 2, 7, 1]",17,"[1, 1, 1, 3, 0]",6,0.25,9,1,1,1
_The Veil of Venus_  9.,"[3, 4, 2, 5, 1]",15,"[1, 1, 1, 2, 0]",5,0.0,10,1,1,1
_The Ocean Primeval_  10.,"[3, 5, 8, 2]",18,"[1, 3, 3, 0]",7,0.0,10,1,1,1
_The Dying Planet_  11.,"[3, 5, 6, 2]",16,"[1, 1, 2, 0]",4,0.0,10,1,1,1
_Martians Don't Care_  12.,"[8, 2, 3, 4, 2]",19,"[3, 1, 0, 1, 0]",5,0.0,10,1,1,1
_At Rope's End_  13.,"[2, 4, 2, 3, 2]",13,"[1, 1, 0, 1, 0]",3,0.0,10,1,1,1
_The Pole of Callisto_  14.,"[3, 4, 2, 8, 2]",19,"[1, 1, 1, 3, 0]",6,0.0,10,1,1,1
_Rockets Away!_  15.,"[7, 4, 2]",13,"[2, 2, 0]",4,0.0,10,1,1,1
_Ice Cold on Oberon_  16.,"[3, 4, 2, 6, 2]",17,"[1, 1, 1, 3, 0]",6,-0.6,8,1,1,1
_In Orbit Around Pluto_  17.,"[2, 5, 6, 5, 2]",20,"[1, 2, 2, 2, 0]",7,0.0,10,1,1,1
_Stronghold of the Lost Planet_  18.,"[10, 2, 3, 4, 6, 2]",27,"[2, 1, 1, 1, 2, 0]",7,0.0,10,1,1,1
_Sacrifice on the Sacred Moon_  19.,"[9, 2, 3, 6, 4, 2]",26,"[3, 1, 1, 1, 1, 0]",7,0.0,10,1,1,1
"_The Museum of Galactic Life_  _About the Author_     _The Mysterious Ninth World_  While the circumnavigation of the solar system seems farfetched, it may not be once the problem of effective anti-gravitational control is solved.","[3, 6, 2, 8, 4, 5, 3, 6, 3, 10, 5, 5, 5, 3, 16, 2, 3, 5, 6, 5, 10, 2, 3, 3, 2, 4, 3, 7, 2, 9, 18, 7, 2, 6]",183,"[1, 2, 1, 3, 1, 2, 1, 2, 1, 3, 1, 1, 1, 1, 6, 1, 1, 2, 2, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 3, 7, 2, 1, 1]",59,0.3,19,0,0,3
In this book I have assumed that the many researchers now actually at work on this problem will achieve such a result in the next decade.,"[2, 4, 4, 1, 4, 7, 4, 3, 4, 11, 3, 8, 2, 4, 2, 4, 7, 4, 7, 4, 1, 6, 2, 3, 4, 6]",111,"[1, 1, 1, 1, 1, 2, 1, 1, 2, 4, 1, 3, 1, 1, 1, 1, 2, 1, 3, 1, 1, 2, 1, 1, 1, 2]",38,0.125,1,0,0,3
"It is not at all impossible that they may--for we all know that the more minds that work at a problem, the sooner it will be solved.","[2, 2, 3, 2, 3, 10, 4, 4, 3, 3, 2, 3, 4, 4, 3, 4, 5, 4, 4, 2, 1, 7, 3, 6, 2, 4, 2, 6]",102,"[1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1]",32,-0.0833333333333,2,0,0,0
